iteration,rastrigin_seed0_replace.csv,rastrigin_seed10_replace.csv,rastrigin_seed1_replace.csv,rastrigin_seed2_replace.csv,rastrigin_seed3_replace.csv,rastrigin_seed4_replace.csv,rastrigin_seed5_replace.csv,rastrigin_seed6_replace.csv,rastrigin_seed7_replace.csv,rastrigin_seed8_replace.csv,rastrigin_seed9_replace.csv,中央値,平均�,標準偏差
16,32.24609313,44.01958837,38.86331601,39.25574117,62.77478975,55.68040124,58.48376995,48.93380497,54.09970695,46.32799142,54.86225154,48.93380497,48.68613223,9.454886022
17,32.24609313,44.01958837,37.67785818,39.25574117,62.77478975,55.68040124,57.96021221,47.21090645,54.09970695,46.32799142,39.78645384,46.32799142,47.00361297,9.595275524
18,29.77587184,44.01958837,37.67785818,37.78204496,62.77478975,55.68040124,57.96021221,40.88782175,54.09970695,46.32799142,39.78645384,44.01958837,46.07024914,10.25908709
19,29.77587184,44.01958837,37.67785818,37.78204496,62.77478975,54.7043076,57.96021221,40.88782175,54.09970695,42.40647085,39.78645384,42.40647085,45.62501148,10.22671433
20,29.77587184,39.05932268,37.67785818,37.78204496,62.77478975,54.7043076,57.96021221,36.81142687,54.09970695,42.40647085,39.78645384,39.78645384,44.80349688,10.64989344
21,29.77587184,37.85839188,37.67785818,37.78204496,59.02686135,54.7043076,54.07346972,36.81142687,54.09970695,42.40647085,39.78645384,39.78645384,44.00026037,9.667027152
22,29.77587184,37.5769512,35.83196808,33.14328887,59.02686135,54.7043076,53.33555016,36.81142687,54.09970695,42.40647085,39.78645384,39.78645384,43.31807796,10.12208149
23,29.77587184,32.56924006,28.08784484,33.14328887,56.21451848,51.61424399,52.96355311,36.81142687,54.09970695,36.40816741,39.78645384,36.81142687,41.04311966,10.60407664
24,29.77587184,32.56924006,28.08784484,32.55769836,56.21451848,51.61424399,52.96355311,36.81142687,54.09970695,32.8781855,39.78645384,36.81142687,40.66897671,10.85220262
25,29.51668894,32.56924006,28.08784484,32.08188109,56.21451848,39.47822581,52.96355311,36.81142687,52.75471385,32.8781855,39.78645384,36.81142687,39.37661204,10.10093782
26,29.51668894,32.56924006,28.08784484,32.08188109,56.21451848,39.47822581,52.96355311,34.71043128,52.75471385,32.8781855,38.21061327,34.71043128,39.0423542,10.17568223
27,27.12988519,32.56924006,28.08784484,32.08188109,56.21451848,39.47822581,50.80987225,33.23260428,52.75471385,32.8781855,31.86287233,32.8781855,37.91816761,10.4078214
28,27.12988519,30.1876209,28.08784484,32.08188109,55.69540665,39.47822581,50.80987225,33.23260428,52.75471385,32.8781855,29.27335019,32.8781855,37.41905369,10.63474291
29,25.87231857,30.1876209,28.08784484,32.08188109,55.69540665,39.47822581,50.80987225,30.90005112,42.1681884,31.97501127,29.27335019,31.97501127,36.04816101,9.793496899
30,25.07407208,30.1876209,28.08784484,29.09381126,55.69540665,39.47822581,48.86546149,30.90005112,42.1681884,31.97501127,29.27335019,30.90005112,35.52718582,9.75720136
31,25.07407208,30.1876209,20.71202665,29.09381126,55.56014394,39.47822581,48.46076297,30.90005112,42.1681884,31.97501127,28.85899201,30.90005112,34.76990058,10.48404068
32,25.07407208,28.47402788,19.31846893,29.09381126,50.33230137,39.47822581,48.46076297,30.90005112,42.1681884,31.97501127,28.85899201,30.90005112,34.01217392,9.810979505
33,24.20594203,22.28848979,19.31846893,29.09381126,50.33230137,38.85727664,46.32518656,29.5392045,42.1681884,31.97501127,28.85899201,29.5392045,32.9966248,10.10456666
