iteration,rosenbrock_seed0.csv,rosenbrock_seed1.csv,rosenbrock_seed10.csv,rosenbrock_seed2.csv,rosenbrock_seed3.csv,rosenbrock_seed4.csv,rosenbrock_seed5.csv,rosenbrock_seed6.csv,rosenbrock_seed7.csv,rosenbrock_seed8.csv,rosenbrock_seed9.csv,中央値,平均値,標準偏差
13,8.586168001701594,8.98064929706368,14.76593265198988,9.526059926174042,12.24039632300275,10.138433499152333,7.7647505279271165,10.161822684590897,15.37345260258121,8.18424129976679,8.193088909500425,9.526059926174042,10.355908702131883,2.647268695942618
14,8.507224415182822,8.526546454172744,13.268290359948995,9.275356190914383,11.690453780337556,9.40774274175758,7.601576286549364,9.821507249671406,14.46281542053062,7.864596236092476,8.039362503227716,9.275356190914383,9.860497421671424,2.2957716106638673
15,8.441503116763231,8.221274601113025,12.952934162722284,8.995196369678343,11.335974208534996,9.119667300953935,7.566183956711518,9.666869130399764,13.822290539243612,7.321349510044934,7.9788064337466915,8.995196369678343,9.583822666355667,2.1881849575132555
16,8.428707802909702,7.695439707032915,12.51135617885847,8.973933898269276,11.143270070684768,8.903137664984548,7.50122804842765,9.540194256944496,13.267801972681363,7.053902029150484,7.902990986607949,8.903137664984548,9.356542056050147,2.081013821323082
17,8.386691190045125,7.489788935898257,12.02346830445863,8.886087328190737,10.94906164395016,8.873466010374097,7.479804306534917,9.427020134033723,12.665734222586696,6.92061136828325,7.88949907214673,8.873466010374097,9.181021137863848,1.9171238022190153
18,8.363490212046539,7.4010340746557475,11.740110120394789,8.871338832459335,10.781734020667054,8.798128358658683,7.4469619535178415,9.3738217739748,12.409115021454124,6.854548234555743,7.862991795634347,8.798128358658683,9.082115854365364,1.8356806665708931
19,8.350648909654096,7.209601241995094,11.490681982177753,8.843863676655287,10.631923800392071,8.732838111748041,7.429382927130762,9.342306191828015,12.256084637049623,6.760400914162637,7.838281576262935,8.732838111748041,8.989637633550574,1.7927610516275032
20,8.327061946578057,7.0909460952444,11.309555609379004,8.831586113374136,10.411418619517727,8.679271203603681,7.408306062393311,9.316351153314674,12.093032133768263,6.695533743179636,7.814565571454102,8.679271203603681,8.907057113800635,1.7428690433101346
21,8.316134004246955,6.992800142125015,11.16666905312929,8.82257334279435,10.216901580736335,8.65783536976897,7.396018023897874,9.302292987578989,11.979720972206945,6.66083717487918,7.802103861092611,8.65783536976897,8.846716955677865,1.703274688394644
22,8.309123015748828,6.935487017003061,11.087689698254056,8.811459178299291,10.128555416614608,8.637196911564713,7.385139689613842,9.293336128907551,11.902834632762437,6.642235184854064,7.7936515096791,8.637196911564713,8.811518943936504,1.6817433934244455
23,8.301876485053212,6.900592073129099,10.996372313783375,8.806242073310536,10.086650476812489,8.615368086396476,7.378398787260162,9.28299229545788,11.830370698613342,6.625305214775207,7.787412053100046,8.615368086396476,8.782870959790166,1.6600695364193554
24,8.29777283063789,6.856994982835936,10.9175484854299,8.799844571952065,10.03369525045398,8.60007788385872,7.3703182876444,9.2797139538422,11.77685429543408,6.61820187610068,7.780115011061788,8.60007788385872,8.757376129931968,1.6428537835548755
25,8.292522503790156,6.832567561244291,10.837475392815197,8.794154239598354,9.975232325718055,8.58428591730124,7.366672542038512,9.277551112396418,11.729577338825472,6.613714698598932,7.775463429960897,8.58428591730124,8.734474278389776,1.6234088325362168
